     CD       T1-61.0 m/s-VLM1    
    0.1326497          1.691301  

  0.13512633        1.7066186
  0.13765458        1.7219363
  0.14023445        1.7372539
  0.14286593        1.7525715
  0.14554904        1.7678892
  0.14828376        1.7832068
  0.15107010        1.7985244
  0.15390806        1.8138421
  0.15679764        1.8291597
  0.15973884        1.8444773
  0.16273165        1.8597949
  0.16577609        1.8751126
  0.16887214        1.8904302
  0.17201981        1.9057478
  0.17521910        1.9210655
  0.17847001        1.9363831
  0.18177254        1.9517007
  0.18512669        1.9670184
  0.18853245        1.9823360
  0.19198983        1.9976536
  0.19549884        2.0129713
  0.19905946        2.0282889
  0.20267169        2.0436065
  0.20633555        2.0589242
  0.21005103        2.0742418
  0.21381812        2.0895594
  0.21763684        2.1048771
  0.22150717        2.1201947
  0.22542912        2.1355123
  0.22940269        2.1508299
  0.23342787        2.1661476
  0.23750468        2.1814652
  0.24163310        2.1967828
  0.24581315        2.2121005
  0.25004481        2.2274181
  0.25432809        2.2427357
  0.25866299        2.2580534
  0.26304950        2.2733710
  0.26748764        2.2886886
  0.27197739        2.3040063
  0.27651877        2.3193239
  0.28111176        2.3346415
  0.28575637        2.3499592
  0.29045260        2.3652768
  0.29520044        2.3805944
  0.29999991        2.3959121
  0.30485099        2.4112297
  0.30975370        2.4265473
  0.31470802        2.4418649
  0.31971396        2.4571826
  0.32477152        2.4725002
  0.32988069        2.4878178
  0.33504149        2.5031355
  0.34025390        2.5184531
  0.34551794        2.5337707
  0.35083359        2.5490884
  0.35620086        2.5644060
  0.36161975        2.5797236
  0.36709025        2.5950413
  0.37261238        2.6103589
  0.37818612        2.6256765
  0.38381149        2.6409942
  0.38948847        2.6563118
  0.39521707        2.6716294
  0.40099729        2.6869471
  0.40682912        2.7022647
  0.41271258        2.7175823
  0.41864765        2.7328999
  0.42463434        2.7482176
  0.43067266        2.7635352
  0.43676259        2.7788528
  0.44290413        2.7941705
  0.44909730        2.8094881
  0.45534209        2.8248057
  0.46163849        2.8401234
  0.46798651        2.8554410
  0.47438615        2.8707586
  0.48083741        2.8860763
  0.48734029        2.9013939
  0.49389479        2.9167115
  0.50050091        2.9320292
  0.50715864        2.9473468
  0.51386799        2.9626644
  0.52062896        2.9779821
  0.53043778        3.0000000
